time,open,close,high,low,volume
2024-01-01 00:00:00,42464.8,42606.0,42718.5,42438.9,1997.90
2024-01-01 01:00:00,42605.7,42625.8,42667.3,42477.4,1226.29
2024-01-01 02:00:00,42625.9,42673.5,42741.7,42545.0,1139.13
2024-01-01 03:00:00,42673.4,42628.7,42708.5,42595.5,989.10
2024-01-01 04:00:00,42628.8,42567.2,42692.3,42512.0,1247.35
2024-01-01 05:00:00,42567.4,42528.8,42687.7,42528.2,1367.99
2024-01-01 06:00:00,42528.7,42267.5,42605.2,42081.4,2784.29
2024-01-01 07:00:00,42267.5,42290.8,42359.3,42070.7,2851.46
2024-01-01 08:00:00,42291.1,42477.3,42566.6,42265.0,2220.21
2024-01-01 09:00:00,42477.0,42625.2,42800.0,42434.2,2387.53
2024-01-01 10:00:00,42625.2,42597.0,42655.7,42513.7,1371.82
2024-01-01 11:00:00,42597.2,42346.4,42606.8,42249.4,2460.93
2024-01-01 12:00:00,42346.4,42410.0,42410.0,42215.0,1438.90
2024-01-01 13:00:00,42410.1,42244.1,42413.5,42181.5,1271.96
2024-01-01 14:00:00,42244.1,42395.9,42432.5,42215.0,930.63
2024-01-01 15:00:00,42395.9,42502.0,42505.6,42395.8,1287.14
2024-01-01 16:00:00,42500.9,42562.8,42569.0,42463.0,1115.91
2024-01-01 17:00:00,42562.9,42663.3,42705.0,42541.3,1677.73
2024-01-01 18:00:00,42662.5,42700.8,42766.5,42633.0,1548.39
2024-01-01 19:00:00,42701.4,42702.6,42774.6,42613.2,1545.84
2024-01-01 20:00:00,42702.5,42656.4,42791.6,42625.7,1557.78
2024-01-01 21:00:00,42656.3,42731.0,42760.0,42620.1,887.28
2024-01-01 22:00:00,42730.0,42619.7,42730.1,42584.2,1406.52
2024-01-01 23:00:00,42619.4,42792.0,42859.0,42587.0,1950.29
2024-01-02 00:00:00,42792.0,42734.9,42874.7,42670.5,1707.43
2024-01-02 01:00:00,42734.9,42819.9,42834.6,42713.0,900.87
2024-01-02 02:00:00,42819.5,43121.6,43239.0,42819.4,5024.75
2024-01-02 03:00:00,43121.6,43534.5,43569.0,43109.3,4375.32
2024-01-02 04:00:00,43534.8,43723.5,43877.8,43530.0,5869.26
2024-01-02 05:00:00,43723.6,43652.8,43822.2,43505.6,2617.03
2024-01-02 06:00:00,43652.5,43556.0,43695.0,43400.0,1817.85
2024-01-02 07:00:00,43556.1,44209.5,44243.7,43556.1,7656.27
2024-01-02 08:00:00,44209.8,45162.1,45329.9,44181.9,15277.15
2024-01-02 09:00:00,45155.2,44902.4,45450.0,44726.3,8722.66
2024-01-02 10:00:00,44902.5,45391.5,45394.9,44902.5,4512.15
2024-01-02 11:00:00,45392.0,45400.0,45526.5,45135.6,5635.98
2024-01-02 12:00:00,45400.0,45182.2,45450.0,45170.0,3248.04
2024-01-02 13:00:00,45182.2,45188.5,45332.6,45126.9,2111.30
2024-01-02 14:00:00,45188.6,45177.2,45318.9,45136.2,1519.36
2024-01-02 15:00:00,45177.2,45463.7,45730.5,45177.0,6254.32
2024-01-02 16:00:00,45463.7,45784.0,45875.3,45337.8,7328.57
2024-01-02 17:00:00,45784.1,45700.3,45905.2,45648.8,3819.15
2024-01-02 18:00:00,45700.3,45627.7,45745.6,45474.0,3567.45
2024-01-02 19:00:00,45628.1,45465.3,45739.2,45239.0,4749.23
2024-01-02 20:00:00,45465.1,45337.6,45627.3,45301.1,3850.20
2024-01-02 21:00:00,45337.5,45667.1,45735.0,45298.7,3838.28
2024-01-02 22:00:00,45667.0,45270.4,45834.2,45025.0,8943.40
2024-01-02 23:00:00,45270.5,45194.1,45338.4,44843.1,8574.73
2024-01-03 00:00:00,45194.3,45372.1,45421.6,44905.0,5493.71
2024-01-03 01:00:00,45372.1,44974.9,45393.4,44956.2,3306.85
2024-01-03 02:00:00,44975.1,45161.5,45275.0,44950.0,3123.07
2024-01-03 03:00:00,45161.1,45044.8,45256.0,44780.1,3975.01
2024-01-03 04:00:00,45044.9,44793.3,45189.3,44752.0,3844.41
2024-01-03 05:00:00,44793.4,45131.9,45132.5,44613.8,5085.67
2024-01-03 06:00:00,45131.8,44983.9,45308.9,44848.2,3345.73
2024-01-03 07:00:00,44983.8,44952.0,45058.5,44800.0,2050.46
2024-01-03 08:00:00,44952.0,45146.7,45224.7,44873.0,2550.15
2024-01-03 09:00:00,45146.8,45331.1,45356.1,45109.7,1846.72
2024-01-03 10:00:00,45331.2,45288.7,45430.1,45228.4,1856.70
2024-01-03 11:00:00,45288.7,45274.1,45324.7,45167.4,1044.80
2024-01-03 12:00:00,45274.0,45193.8,45285.6,45124.3,1181.94
2024-01-03 13:00:00,45193.9,45174.8,45303.3,45123.4,1228.55
2024-01-03 14:00:00,45174.9,45334.2,45377.3,45163.0,1596.27
2024-01-03 15:00:00,45334.0,45007.3,45390.0,44935.6,3178.71
2024-01-03 16:00:00,45007.1,45196.5,45205.0,44999.0,2295.64
2024-01-03 17:00:00,45196.4,45349.9,45527.0,45180.2,3691.34
2024-01-03 18:00:00,45350.0,45146.2,45388.2,45036.8,2606.77
2024-01-03 19:00:00,45146.7,43693.8,45175.1,43466.4,19396.48
2024-01-03 20:00:00,43701.2,42772.5,43714.2,40311.0,62062.47
2024-01-03 21:00:00,42772.6,42513.6,42793.3,42283.3,9231.47
2024-01-03 22:00:00,42513.5,42167.4,42518.4,42030.0,7053.78
2024-01-03 23:00:00,42167.4,42978.1,42994.2,42165.5,8874.83
2024-01-04 00:00:00,42976.6,42990.2,43570.7,42766.6,14448.29
2024-01-04 01:00:00,42990.2,42894.1,43031.5,42598.9,5534.53
2024-01-04 02:00:00,42891.8,42242.0,43046.7,41914.6,8708.74
2024-01-04 03:00:00,42242.0,42580.2,43000.0,42140.3,8056.13
2024-01-04 04:00:00,42580.1,42690.4,42834.6,42502.7,2689.61
2024-01-04 05:00:00,42694.2,42913.7,42956.4,42564.9,3057.99
2024-01-04 06:00:00,42913.7,42740.0,42933.6,42585.0,2068.33
2024-01-04 07:00:00,42740.0,42833.7,42840.0,42574.8,1483.88
2024-01-04 08:00:00,42833.7,42862.8,42975.4,42743.9,2121.45
2024-01-04 09:00:00,42862.6,42698.1,42919.9,42601.5,2217.07
2024-01-04 10:00:00,42693.6,43132.1,43217.1,42675.8,2997.49
2024-01-04 11:00:00,43132.6,43098.9,43207.2,42992.3,2066.77
2024-01-04 12:00:00,43099.3,43144.4,43198.4,42958.4,1632.63
2024-01-04 13:00:00,43144.2,43173.0,43267.9,43062.1,1688.47
2024-01-04 14:00:00,43173.0,43146.8,43218.3,43072.2,1743.39
2024-01-04 15:00:00,43146.7,42750.1,43251.6,42740.9,6320.23
2024-01-04 16:00:00,42751.0,42840.9,42959.0,42720.5,2886.94
2024-01-04 17:00:00,42841.2,43005.4,43077.4,42841.0,2052.74
2024-01-04 18:00:00,43005.3,43072.8,43093.8,42656.1,4114.79
2024-01-04 19:00:00,43072.9,43169.6,43230.0,42925.9,2724.39
2024-01-04 20:00:00,43169.7,43365.7,43419.4,43089.6,5117.78
2024-01-04 21:00:00,43365.7,43331.9,43477.7,43151.6,3462.22
2024-01-04 22:00:00,43331.6,43664.5,43760.5,43240.2,6552.77
2024-01-04 23:00:00,43664.2,44045.6,44341.2,43600.8,13533.96
2024-01-05 00:00:00,44046.0,43904.2,44130.7,43771.3,5981.19
2024-01-05 01:00:00,43904.5,43974.1,44220.0,43807.8,5150.46
2024-01-05 02:00:00,43974.3,44036.9,44145.0,43860.6,2519.59
2024-01-05 03:00:00,44037.2,43936.5,44431.7,43891.1,6842.16
2024-01-05 04:00:00,43934.7,44096.4,44830.3,43875.8,8870.76
2024-01-05 05:00:00,44096.2,44413.7,44568.3,44096.1,8247.04
2024-01-05 06:00:00,44413.8,44300.4,44732.0,44134.4,5556.11
2024-01-05 07:00:00,44299.4,44130.1,44341.8,44035.2,2630.48
2024-01-05 08:00:00,44128.8,44192.6,44230.6,43957.0,3317.89
2024-01-05 09:00:00,44192.7,43359.9,44265.0,42281.9,17254.99
2024-01-05 10:00:00,43353.3,43491.0,43929.7,43280.0,7597.13
2024-01-05 11:00:00,43490.9,43449.6,43763.4,43391.9,3427.56
2024-01-05 12:00:00,43449.7,43572.2,43615.6,43187.8,4100.78
2024-01-05 13:00:00,43572.2,43629.0,43715.1,43493.3,2296.72
2024-01-05 14:00:00,43628.8,43829.6,43911.7,43556.6,2789.76
2024-01-05 15:00:00,43829.6,43758.5,43911.7,43704.9,2245.18
2024-01-05 16:00:00,43758.5,43899.7,43933.9,43749.0,1865.04
2024-01-05 17:00:00,43899.6,44132.6,44321.3,43897.6,7237.91
2024-01-05 18:00:00,44132.7,43607.8,44141.9,43457.1,4138.12
2024-01-05 19:00:00,43610.2,43751.7,43895.0,43576.3,4090.25
2024-01-05 20:00:00,43751.6,43859.0,44096.2,43604.0,4942.63
2024-01-05 21:00:00,43859.3,43968.3,44068.0,43700.0,4697.33
2024-01-05 22:00:00,43968.5,43463.2,44053.0,43135.7,10933.16
2024-01-05 23:00:00,43465.4,43484.1,43779.0,43331.8,5732.00
2024-01-06 00:00:00,43483.3,43195.9,43573.9,43192.7,4891.53
2024-01-06 01:00:00,43199.4,43584.9,43607.4,43072.3,5187.51
2024-01-06 02:00:00,43585.6,43592.2,43671.1,43391.3,2453.19
2024-01-06 03:00:00,43592.1,43584.6,43804.5,43501.6,2989.17
2024-01-06 04:00:00,43584.5,43932.8,44416.9,43580.8,10748.68
2024-01-06 05:00:00,43933.7,43925.1,43949.1,43560.0,4162.39
2024-01-06 06:00:00,43925.2,43946.4,44026.2,43736.9,1752.00
2024-01-06 07:00:00,43946.5,44128.9,44299.2,43946.5,3946.63
2024-01-06 08:00:00,44128.6,44045.6,44192.5,43953.0,1665.88
2024-01-06 09:00:00,44045.5,43947.7,44072.4,43883.6,1366.78
2024-01-06 10:00:00,43947.5,43882.4,43990.0,43806.0,1482.84
2024-01-06 11:00:00,43882.4,43908.5,43999.0,43792.0,1208.52
2024-01-06 12:00:00,43908.6,43832.1,43953.4,43813.9,726.60
2024-01-06 13:00:00,43832.0,43679.2,43852.4,43568.8,2649.19
2024-01-06 14:00:00,43679.0,43439.2,43682.8,43409.8,2701.54
2024-01-06 15:00:00,43439.1,43633.0,43650.0,43380.0,2474.45
2024-01-06 16:00:00,43633.0,43678.3,43722.5,43536.6,1605.61
2024-01-06 17:00:00,43678.5,43634.1,43744.6,43617.3,1074.31
2024-01-06 18:00:00,43634.3,43673.8,43753.0,43565.9,1231.02
2024-01-06 19:00:00,43674.1,43652.1,43689.4,43595.7,771.95
2024-01-06 20:00:00,43652.1,43589.0,43732.7,43506.3,1339.16
2024-01-06 21:00:00,43588.9,43683.4,43723.7,43518.5,1237.78
2024-01-06 22:00:00,43683.4,43805.2,43896.0,43682.3,2757.15
2024-01-06 23:00:00,43805.2,43844.8,43875.0,43761.0,1102.69
2024-01-07 00:00:00,43844.5,43849.0,43950.0,43802.6,1346.02
2024-01-07 01:00:00,43849.2,43943.7,43986.9,43818.0,1286.11
2024-01-07 02:00:00,43945.0,43978.3,44131.4,43860.0,2362.18
2024-01-07 03:00:00,43978.5,43884.9,43998.9,43811.2,1343.05
2024-01-07 04:00:00,43885.3,43800.6,43942.4,43637.8,2411.44
2024-01-07 05:00:00,43800.8,43863.4,43918.3,43693.5,1249.27
2024-01-07 06:00:00,43863.4,43854.2,43905.8,43719.4,880.36
2024-01-07 07:00:00,43854.2,43946.0,43963.0,43705.0,1135.67
2024-01-07 08:00:00,43944.2,44101.6,44243.8,43891.1,2949.52
2024-01-07 09:00:00,44102.1,43943.3,44144.5,43936.9,1438.73
2024-01-07 10:00:00,43943.4,43909.4,44070.8,43816.3,1858.15
2024-01-07 11:00:00,43909.3,43916.3,44013.4,43877.8,904.84
2024-01-07 12:00:00,43916.3,43974.8,44016.5,43857.6,885.67
