time,open,close,high,low,volume
1735909200000,96635.0,96484.7,96818.0,96446.3,503.72
1735912800000,96484.7,96986.2,97320.0,96482.4,1416.40
1735916400000,96987.7,97495.0,97645.2,96730.0,1386.02
1735920000000,97495.0,97838.5,98411.0,97371.2,1710.04
1735923600000,97838.7,97997.6,98263.1,97800.1,632.31
1735927200000,97997.6,98503.0,98666.0,97967.1,760.20
1735930800000,98503.2,98573.4,98959.9,98465.3,894.73
1735934400000,98573.3,98274.9,98725.6,98265.2,505.79
1735938000000,98275.8,98235.1,98397.3,98153.7,340.91
1735941600000,98236.0,98276.4,98498.0,98213.8,258.55
1735945200000,98277.0,98160.4,98348.5,98041.3,362.40
1735948800000,98160.2,97930.2,98285.7,97873.4,771.14
1735952400000,97930.4,98003.8,98086.7,97774.2,413.26
1735956000000,98003.8,98279.7,98290.3,97826.3,359.87
1735959600000,98279.7,98162.3,98279.7,98014.3,303.54
1735963200000,98162.5,97985.8,98164.8,97851.0,242.91
1735966800000,97985.8,98097.3,98172.7,97968.0,251.73
1735970400000,98097.1,98109.8,98193.7,98016.6,194.15
1735974000000,98109.8,98251.3,98314.3,98073.6,241.91
1735977600000,98251.3,97888.9,98280.0,97888.0,304.40
1735981200000,97888.1,97670.6,97988.6,97537.8,674.48
1735984800000,97670.4,97761.1,97831.1,97575.1,354.94
1735988400000,97761.1,97859.9,97902.2,97682.2,265.50
1735992000000,97860.1,97858.1,97985.0,97769.9,353.12
1735995600000,97858.0,97944.3,98039.9,97715.7,316.94
1735999200000,97944.1,98002.2,98050.3,97793.5,253.00
1736002800000,98001.8,97633.6,98135.1,97497.1,683.01
1736006400000,97633.6,97687.6,97828.0,97550.0,371.88
1736010000000,97688.4,97997.0,98027.2,97660.2,213.87
1736013600000,97997.0,97934.9,98120.0,97884.3,252.22
1736017200000,97934.8,98141.3,98344.9,97904.5,299.61
1736020800000,98141.1,98587.7,98656.2,98141.1,573.69
1736024400000,98587.9,98350.2,98772.8,98314.3,482.85
1736028000000,98350.4,98386.7,98479.7,98238.8,277.72
1736031600000,98386.9,98190.7,98404.6,98120.0,210.80
1736035200000,98190.6,98198.0,98375.0,98123.9,176.49
1736038800000,98198.5,98108.2,98299.8,98030.0,267.75
1736042400000,98108.2,98216.0,98220.0,98080.5,150.19
1736046000000,98216.0,98171.9,98220.0,98050.0,138.79
1736049600000,98171.9,98342.5,98516.6,98169.4,424.72
1736053200000,98342.5,98320.4,98488.7,98243.4,277.43
1736056800000,98319.9,98430.2,98478.4,98271.7,155.09
1736060400000,98430.2,98237.3,98445.3,98237.1,141.98
1736064000000,98237.3,97833.5,98237.3,97729.2,679.00
1736067600000,97833.6,97628.9,97920.0,97603.2,316.02
1736071200000,97628.7,97711.2,97756.3,97554.4,347.98
1736074800000,97711.1,97614.8,97807.7,97584.7,284.64
1736078400000,97615.0,97732.9,97940.0,97534.1,447.27
1736082000000,97732.9,97668.9,97999.6,97647.5,321.23
1736085600000,97668.7,97826.9,97940.0,97242.1,928.19
1736089200000,97825.5,98000.7,98250.0,97681.4,773.16
1736092800000,98002.4,98009.4,98300.0,97902.0,370.48
1736096400000,98009.6,97713.4,98056.1,97635.0,351.56
1736100000000,97713.4,97890.5,97915.0,97551.0,263.40
1736103600000,97890.3,98062.2,98102.8,97821.8,329.31
1736107200000,98062.4,98256.7,98675.6,97995.5,747.84
1736110800000,98256.7,98485.0,98513.5,98196.6,333.11
1736114400000,98485.2,98668.3,98747.0,98320.1,393.96
1736118000000,98668.2,98350.0,98843.1,98295.0,442.14
1736121600000,98350.2,98197.8,98750.0,98167.8,667.52
1736125200000,98197.8,98738.9,98809.9,97888.7,858.57
1736128800000,98738.9,98798.2,99290.9,98616.8,1488.31
1736132400000,98798.2,99014.6,99220.0,98729.9,432.17
1736136000000,99014.6,99442.1,99480.0,99013.6,716.70
1736139600000,99441.9,99587.4,99888.6,99359.8,1129.96
1736143200000,99585.6,99478.3,99755.5,99387.0,587.10
1736146800000,99478.5,99290.9,99517.2,99133.0,616.75
1736150400000,99291.1,99026.1,99613.6,98968.6,654.74
1736154000000,99026.3,98989.9,99240.0,98924.8,354.80
1736157600000,98989.7,98753.9,99057.9,98681.6,721.77
1736161200000,98753.9,99239.1,99396.4,98686.0,563.27
1736164800000,99239.1,99132.4,99695.0,99107.5,726.18
1736168400000,99132.6,99469.4,99543.2,98870.0,585.43
1736172000000,99469.6,100716.9,101284.4,98681.0,2893.36
1736175600000,100707.7,102110.2,102456.6,100454.2,3106.15
1736179200000,102111.0,102136.8,102458.6,101700.0,1766.80
1736182800000,102136.6,101805.2,102136.8,101230.0,1195.88
1736186400000,101805.0,101716.2,102032.2,101542.3,498.21
1736190000000,101718.3,101779.9,102007.5,101610.0,272.24
1736193600000,101779.7,102078.8,102300.0,101768.4,485.84
1736197200000,102079.0,101573.3,102300.3,101555.1,398.71
1736200800000,101573.7,101974.5,102061.9,101560.0,248.47
1736204400000,101974.3,102196.6,102214.5,101860.7,294.15
1736208000000,102196.4,102013.8,102723.9,101908.7,1073.17
1736211600000,102013.6,101897.4,102041.4,101662.7,440.94
1736215200000,101897.5,101645.6,101995.6,101605.9,293.89
1736218800000,101645.5,101670.6,101794.6,101477.7,356.49
1736222400000,101670.7,101633.1,101895.1,101633.0,422.15
1736226000000,101633.8,101705.2,101759.8,101543.1,278.01
1736229600000,101705.4,101781.5,101875.0,101604.4,247.79
1736233200000,101781.5,101661.2,101990.0,101619.2,382.46
1736236800000,101661.0,101887.6,101984.8,101600.0,406.29
1736240400000,101887.3,101692.9,101901.7,101622.0,296.87
1736244000000,101692.9,101381.9,101693.1,101350.6,541.07
1736247600000,101381.9,100812.7,101444.5,100462.9,1533.13
1736251200000,100812.5,100734.0,100937.0,100605.1,576.26
1736254800000,100734.0,100612.0,100935.8,100581.4,498.05
1736258400000,100612.5,99976.1,100845.6,99734.6,1712.48
1736262000000,99976.1,97917.4,100125.8,97127.0,6176.51
1736265600000,97925.7,97710.8,98325.8,97570.4,1811.85
1736269200000,97710.9,97251.8,97793.4,96550.0,2087.63
1736272800000,97253.2,96736.4,97522.0,96582.7,925.83
1736276400000,96736.4,96437.8,97177.1,96303.8,994.05
1736280000000,96438.0,96526.8,96850.4,96142.8,1057.44
1736283600000,96525.0,96472.1,97065.7,96362.9,649.36
1736287200000,96472.1,97137.3,97199.3,96374.4,434.77
1736290800000,97137.3,96924.2,97140.0,96766.4,359.40
1736294400000,96924.2,97229.9,97240.0,96670.0,546.53
1736298000000,97229.9,96876.3,97229.9,96575.7,540.84
1736301600000,96876.3,96835.0,97151.2,96745.1,450.63
1736305200000,96835.0,96511.3,96836.4,96210.0,768.84
1736308800000,96511.3,96256.2,96615.8,96059.0,659.64
1736312400000,96256.2,96464.4,96633.4,96075.3,534.92
1736316000000,96464.4,95266.2,96614.9,95243.0,1460.63
1736319600000,95266.4,95631.5,95792.0,95230.0,845.95
1736323200000,95631.3,95915.2,96100.0,95500.0,645.16
1736326800000,95915.2,95403.2,96076.0,95378.3,433.11
1736330400000,95403.2,95923.6,95972.6,95403.2,447.53
1736334000000,95923.4,95097.9,96028.5,94496.3,1470.95
1736337600000,95097.7,94861.1,95339.2,94825.0,769.80
1736341200000,94861.1,95356.7,95646.0,94861.1,882.70
1736344800000,95356.7,95266.0,95847.5,94870.0,1042.36
1736348400000,95267.6,95465.9,96050.0,94600.0,1889.91
1736352000000,95465.9,94762.2,95466.9,94528.2,738.82
1736355600000,94762.4,93980.3,94827.1,92467.0,3248.63
1736359200000,93980.3,94217.1,95086.7,93726.9,1783.47
1736362800000,94216.6,94225.4,94825.0,94025.0,941.27
1736366400000,94225.4,93953.2,94400.0,93726.3,600.13
1736370000000,93960.5,94427.1,94558.3,93582.8,547.65
1736373600000,94427.3,95258.5,95260.4,94418.5,888.39
1736377200000,95258.3,95032.8,95260.0,94865.0,418.85
1736380800000,95028.4,95121.2,95125.0,94775.5,477.47
1736384400000,95121.2,94964.2,95369.8,94949.1,693.01
1736388000000,94964.2,94751.1,95016.8,93417.5,1803.04
1736391600000,94751.2,93993.7,94775.4,93989.3,522.70
1736395200000,93993.7,94385.7,94465.8,93772.8,641.24
1736398800000,94385.7,94446.8,94549.2,94242.6,345.36
1736402400000,94446.8,94071.3,94598.2,94016.7,449.09
1736406000000,94071.3,93196.9,94280.0,93174.9,1228.52
1736409600000,93196.9,93002.7,93372.4,92713.7,1574.16
1736413200000,93002.9,93482.9,93705.3,92950.0,603.59
1736416800000,93482.7,93430.0,93631.9,93000.0,530.82
